airbnb_property_id,rating,bathrooms,title,occ,bedrooms,accommodates,adr,revenue,reviews,homeaway_property_id,longitude,latitude,m_homeaway_property_id,property_type,id,room_type,platforms__airbnb_property_id,platforms__homeaway_property_id,listings_returned,area_info__geom__|,area_info__geom__|__country,area_info__geom__|__state,area_info__geom__|__city
17499692,10,1,Bright Spacious Suite in Quiet Family Neighborhood,0.912727,2,6,89.3178,22418.8,57,null,-122.75614,49.15447,null,Guest suite,5297182,Entire home/apt,17499692,null,,,,,
17314314,10,1,Bright Queen Bed Garden Suite in a family home.,0.62963,1,2,89.7299,4576.22,14,null,-122.78444,49.05308,null,Guest suite,5381486,Entire home/apt,17314314,null,,,,,
13885206,9,1,1 BEDROOM BACHELOR SUITE,0.822134,1,2,67.9992,14143.8,67,null,-122.806,49.204,null,Guest suite,3918571,Entire home/apt,13885206,null,,,,,
1200751,9.7,1,"Above The Beach, Coach House",0.539855,1,2,122.815,18299.5,124,null,-122.87689,49.04555,null,Apartment,1135117,Entire home/apt,1200751,null,,,,,
26688435,10,2.5,The Perfect Home For Your Stay!,0.337838,3,10,196.96,4923.99,5,null,-122.82852,49.11188,null,House,10898158,Entire home/apt,26688435,null,,,,,
102529420,0,1,Tree Top Luxury Guest Studio,0.75,1,2,197.696,593.089,0,1405022vb,-122.7671887,49.10698796,null,Studio,102529420,Entire home/apt,null,1405022vb,,,,,
32577945,9,1,Nice and Clean place for budget travellers,0.65,1,2,52.984,1377.58,6,null,-122.75804,49.15839,null,Guest suite,12676489,Entire home/apt,32577945,null,,,,,
19752087,10,1,Beautiful lane way house in Crescent Beach/Heights,0.729084,1,2,142.895,26149.8,63,null,-122.87236,49.05155,null,Guesthouse,6793871,Entire home/apt,19752087,null,,,,,
25977629,8,2,Amazing comfort-close to beach-special $4600 mnth,0.392857,3,6,221.367,4870.07,3,null,-122.7969,49.03835,null,Cottage,9955613,Entire home/apt,25977629,null,,,,,
23169831,null,1,Camping Like a Movie Star - Airstream Trailer!,0.419355,0,4,204.056,2652.73,0,null,-122.69566,49.12415,null,Camper/RV,8553765,Entire home/apt,23169831,null,,,,,
26532607,9.5,1,Nestled Between 2 Beaches - White Rock Or Crescent,0.4,1,3,136.045,1904.62,4,null,-122.79409,49.05025,null,Guesthouse,10145037,Entire home/apt,26532607,null,,,,,
